SITE_NAME,BEGIN,END,PERIOD_DAYS,KWH_PERIOD,AV_KWH_DAY,PERIOD_EUR,BILLS
0001BB,01/01/2018,31/01/2018,30,2447,81.56666666666666,"316,46",35
0001BB,01/02/2018,28/02/2018,27,2211,81.88888888888889,"286,82",35
0001BB,01/03/2018,31/03/2018,30,2450,81.66666666666667,"317,32",35
0001BB,01/04/2018,30/04/2018,29,2431,83.82758620689656,"315,00",35
0001BB,01/05/2018,31/05/2018,30,2574,85.8,"333,37",35
0001BB,01/06/2018,30/06/2018,29,2830,97.58620689655173,"365,27",35
0001BB,01/07/2018,31/07/2018,30,3028,100.93333333333334,"390,39",35
0001BB,01/08/2018,31/08/2018,30,3053,101.76666666666667,"393,99",35
0001BB,01/09/2018,30/09/2018,29,2915,100.51724137931035,"378,35",35
0001BB,01/10/2018,31/10/2018,30,2986,99.53333333333333,"387,05",35
0001BB,01/11/2018,30/11/2018,29,2871,99.0,"372,47",35
0001BB,01/12/2018,31/12/2018,30,3086,102.86666666666666,"399,30",35
0001BB,01/01/2019,31/01/2019,30,3094,103.13333333333334,"381,40",35
0001BB,01/02/2019,28/02/2019,27,2767,102.48148148148148,"345,87",35
0001BB,01/03/2019,31/03/2019,30,3059,101.96666666666667,"378,18",35
0001BB,01/04/2019,30/04/2019,29,2761,95.20689655172414,"340,84",35
0001BB,01/05/2019,31/05/2019,30,2844,94.8,"349,26",35
0001BB,01/06/2019,30/06/2019,29,3009,103.75862068965517,"369,19",35
0001BB,01/07/2019,31/07/2019,30,3016,100.53333333333333,"371,20",35
0001BB,01/08/2019,31/08/2019,30,3089,102.96666666666667,"380,42",35
0001BB,01/09/2019,30/09/2019,29,2914,100.48275862068965,"361,36",35
0001BB,01/10/2019,31/10/2019,30,2963,98.76666666666667,"366,70",35
0001BB,01/11/2019,30/11/2019,29,2797,96.44827586206897,"345,89",35
0001BB,01/12/2019,31/12/2019,30,2859,95.3,"353,08",35
0001BB,01/01/2020,31/01/2020,30,2863,95.43333333333334,"414,93",35
0001BB,01/02/2020,29/02/2020,28,2663,95.10714285714286,"387,22",35
0001BB,01/03/2020,31/03/2020,30,2759,91.96666666666667,"403,25",35
0001BB,01/04/2020,30/04/2020,29,2680,92.41379310344827,"390,79",35
0001BB,01/05/2020,31/05/2020,30,2797,93.23333333333333,"407,48",35
0001BB,01/06/2020,30/06/2020,29,2796,96.41379310344827,"407,77",35
0001BB,01/07/2020,31/07/2020,30,2952,98.4,"429,09",35
0001BB,01/08/2020,31/08/2020,30,3014,100.46666666666667,"435,98",35
0001BB,01/09/2020,30/09/2020,29,2857,98.51724137931035,"411,97",35
0001BB,01/10/2020,31/10/2020,30,2905,96.83333333333333,"413,41",35
0001BB,01/11/2020,30/11/2020,29,2755,95.0,"383,02",35
0001BR,01/01/2018,31/01/2018,30,2438,81.26666666666667,"266,43",35
0001BR,01/02/2018,28/02/2018,27,2211,81.88888888888889,"242,33",35
0001BR,01/03/2018,31/03/2018,30,2453,81.76666666666667,"267,95",35
0001BR,01/04/2018,30/04/2018,29,2414,83.24137931034483,"263,78",35
0001BR,01/05/2018,31/05/2018,30,2517,83.9,"274,62",35
0001BR,01/06/2018,30/06/2018,29,2461,84.86206896551724,"268,63",35
0001BR,01/07/2018,31/07/2018,30,2560,85.33333333333333,"279,26",35
0001BR,01/08/2018,31/08/2018,30,2597,86.56666666666666,"283,07",35
0001BR,01/09/2018,30/09/2018,29,2436,84.0,"267,99",35
0001BR,01/10/2018,31/10/2018,30,2497,83.23333333333333,"274,50",35
